nom_club,url_ffhb
handball club des volcans,https://monclub.ffhandball.fr/clubs/handball-club-des-volcans/
la sanfloraine sports et loisirs,https://monclub.ffhandball.fr/clubs/la-sanfloraine-sports-et-loisirs/
handball club mauriacois,https://monclub.ffhandball.fr/clubs/handball-club-mauriacois/
handball club maurs,https://monclub.ffhandball.fr/clubs/handball-club-maurs/
hbc murat,https://monclub.ffhandball.fr/clubs/hbc-murat/
le caldagues hand,https://monclub.ffhandball.fr/clubs/le-caldagues-hand/
section hand massiac,https://monclub.ffhandball.fr/clubs/section-hand-massiac/
saint mamet hand en chataigneraie cantalienne,https://monclub.ffhandball.fr/clubs/saint-mamet-hand-en-chataigneraie-cantalienne/
hbc ydes,https://monclub.ffhandball.fr/clubs/hbc-ydes/
handball club riomois,https://monclub.ffhandball.fr/clubs/handball-club-riomois/
saint flour handball,https://monclub.ffhandball.fr/clubs/saint-flour-handball/
chataigneraie handball,https://monclub.ffhandball.fr/clubs/chataigneraie-handball/
hbc laroquebrou,https://monclub.ffhandball.fr/clubs/hbc-laroquebrou/
nrj,https://monclub.ffhandball.fr/clubs/nrj/
h b olympique ponot,https://monclub.ffhandball.fr/clubs/h-b-olympique-ponot/
handball club loire mezenc,https://monclub.ffhandball.fr/clubs/handball-club-loire-mezenc/
as montfaucon handball,https://monclub.ffhandball.fr/clubs/as-montfaucon-handball/
hbc brivadois,https://monclub.ffhandball.fr/clubs/hbc-brivadois/
hbc du haut velay granitique,https://monclub.ffhandball.fr/clubs/hbc-du-haut-velay-granitique/
hbc langeac,https://monclub.ffhandball.fr/clubs/hbc-langeac/
hbc de la tour,https://monclub.ffhandball.fr/clubs/hbc-de-la-tour/
handball club landos,https://monclub.ffhandball.fr/clubs/handball-club-landos/
hbc loudes,https://monclub.ffhandball.fr/clubs/hbc-loudes/
hbc st julien chapteuil,https://monclub.ffhandball.fr/clubs/hbc-st-julien-chapteuil/
hbc craponne,https://monclub.ffhandball.fr/clubs/hbc-craponne/
hbc langogne lafayette,https://monclub.ffhandball.fr/clubs/hbc-langogne-lafayette/
hand st didier,https://monclub.ffhandball.fr/clubs/hand-st-didier/
hbc saugues,https://monclub.ffhandball.fr/clubs/hbc-saugues/
emblaves,https://monclub.ffhandball.fr/clubs/emblaves/
handball suc beaux yssingeaux,https://monclub.ffhandball.fr/clubs/handball-suc-beaux-yssingeaux/
uhb bassois,https://monclub.ffhandball.fr/clubs/uhb-bassois/
handball club de chadrac,https://monclub.ffhandball.fr/clubs/handball-club-de-chadrac/
hbc des portes dauvergne,https://monclub.ffhandball.fr/clubs/hbc-des-portes-dauvergne/
handball loire semene 2,https://monclub.ffhandball.fr/clubs/handball-loire-semene-2/
saint germain blavozy hand ball,https://monclub.ffhandball.fr/clubs/saint-germain-blavozy-hand-ball/
handball olympique le puy chadrac,https://monclub.ffhandball.fr/clubs/handball-olympique-le-puy-chadrac/
